zkir:     ~/.compact/versions/0.33.0-rc.2/aarch64-darwin/zkir-v3 (midnight-zkir-v3 3.0.0-rc.2)
contract: ../../contract/contracts/managed/account

circuit                                                 k    rows zkir_bytes prover_MB   time_s  peak_GB    match
activate_initial_device_with_jubjub                    14   13412       6091      23.5     1.09     0.22 IDENTICAL
activate_initial_device_with_k256                      14   14094       7983      28.0     1.09     0.26 IDENTICAL
add_device_with_jubjub                                 15   26771      11919      47.0     2.27     0.46 IDENTICAL
add_device_with_k256                                   16   58897      22348     112.0     6.02     1.17 IDENTICAL
append_inbox_with_jubjub                               16   32790      12355      94.0     3.24     1.00 IDENTICAL
append_inbox_with_k256                                 16   64924      22795     112.0     6.30     1.17 IDENTICAL
deposit_shielded                                       13    6484       5486      10.8     0.38     0.11 IDENTICAL
deposit_unshielded                                      9     311       4709       0.4     0.03     0.02 IDENTICAL
issue_grant_with_jubjub                                16   52227      27245      94.0     3.92     0.94 IDENTICAL
issue_grant_with_k256                                  17   78604      37788     224.0     8.64     2.29 IDENTICAL
remove_device_with_jubjub                              15   32730      14281      47.0     2.50     0.46 IDENTICAL
remove_device_with_k256                                16   65404      25303     112.0     6.28     1.19 IDENTICAL
revoke_all_grants_with_jubjub                          15   26645      10776      47.0     2.28     0.50 IDENTICAL
revoke_all_grants_with_k256                            16   58771      21196     112.0     6.01     1.28 IDENTICAL
revoke_grant_with_jubjub                               15   26871      14561      47.0     2.28     0.46 IDENTICAL
revoke_grant_with_k256                                 16   58997      25052     112.0     6.05     1.20 IDENTICAL
rotate_enc_key_with_jubjub                             15   26725      10395      47.0     2.44     0.45 IDENTICAL
rotate_enc_key_with_k256                               16   58851      20811     112.0     6.11     1.16 IDENTICAL
withdraw_shielded_to_contract_with_grant_jubjub        17   71717      31205     188.0     6.09     2.04 IDENTICAL
withdraw_shielded_to_contract_with_grant_k256          17   97568      41267     224.0     9.70     2.31 IDENTICAL
withdraw_shielded_to_contract_with_jubjub              16   55758      19887      94.0     4.08     0.94 IDENTICAL
withdraw_shielded_to_contract_with_k256                17   80290      30423     224.0     8.68     2.30 IDENTICAL
withdraw_shielded_with_grant_jubjub                    17   66014      29572     188.0     5.84     2.03 IDENTICAL
withdraw_shielded_with_grant_k256                      17   91865      39636     224.0     9.35     2.30 IDENTICAL
withdraw_shielded_with_jubjub                          16   50055      18267      94.0     4.01     0.90 IDENTICAL
withdraw_shielded_with_k256                            17   74587      28790     224.0     8.49     2.34 IDENTICAL
withdraw_unshielded_with_grant_jubjub                  16   38514      21622      94.0     3.41     0.89 IDENTICAL
withdraw_unshielded_with_grant_k256                    17   64355      31684     224.0     8.05     2.41 IDENTICAL
withdraw_unshielded_with_jubjub                        15   28877      14824      47.0     2.38     0.46 IDENTICAL
withdraw_unshielded_with_k256                          16   61003      25262     112.0     6.13     1.29 IDENTICAL
